uid,E-CPV Error,E-CPV Uncertainty,E-MHA Error,E-MHA Uncertainty,S-MHA Error,S-MHA Uncertainty,Validation Fold,Testing Fold,E-CPV Uncertainty bins,E-MHA Uncertainty bins,S-MHA Uncertainty bins
PHD_2154,40.4475,91.79683151245118,14.035668,0.0308401733636856,128.76335,0.0332615139333543,1,0,4,4,4
PHD_2158,2.236068,16.286812019348144,9.848858,0.1244917512871325,7.81025,0.18307059679037,1,0,3,4,4
PHD_217,6.4031243,1.7772699117660522,7.81025,0.7763763189315795,7.2111025,0.99475839226334,1,0,0,0,1
PHD_2194,46.32494,57.69634704589844,4.1231055,0.1213785169646144,7.615773,0.226795572001855,1,0,4,4,4
PHD_220,13.928389,3.8873721599578857,17.492855,0.3336378514766693,16.03122,0.5468977011745675,1,0,2,2,2
PHD_2206,7.28011,1.953565788269043,8.246211,0.9921546578407288,8.246211,1.354140214416655,1,0,0,0,0
PHD_2212,5.0990195,1.04721360206604,5.0990195,0.8377499282360077,5.3851647,1.7038743456564576,1,0,0,0,0
PHD_2217,8.062258,2.7469082832336427,7.28011,0.6139056921005249,9.055386,0.8026293772532966,1,0,2,1,1
PHD_2223,8.485281,1.3300563097000122,9.219544,0.5626644194126129,8.485281,1.1157214451264048,1,0,0,1,0
PHD_2236,10.29563,1.4128990173339844,10.770329,0.7959088206291198,10.440307,1.1291743323053538,1,0,0,0,0
PHD_2239,16.763054,33.7238956451416,5.8309517,0.2781322598457336,5.0,0.5183251659407594,1,0,4,3,2
PHD_2243,6.3245554,3.261932063102722,8.5440035,0.360067817568779,7.615773,0.533953324176386,1,0,2,2,2
PHD_2245,5.8309517,2.1625118494033813,5.0,0.7138132631778717,3.6055512,1.1477560315350313,1,0,1,0,0
PHD_2252,13.152946,18.784935760498048,2.828427,0.2963741391897201,59.135437,0.2864664771465531,1,0,3,2,4
PHD_2253,7.071068,1.3300563097000122,7.2111025,0.6595958828926086,8.062258,0.7791367831184394,1,0,0,1,1
PHD_2259,6.0,4.839873838424682,6.3245554,0.3412560361641226,8.246211,0.3308552994238912,1,0,3,2,3
PHD_226,30.265491,33.23010368347168,65.9242,0.100899340910837,57.72348,0.2539026704532531,1,0,4,4,4
PHD_2275,11.045361,1.3981409549713135,11.045361,0.9806772112846376,11.045361,1.783537576072738,1,0,0,0,0
PHD_2276,13.038404,22.93507375717163,15.132746,0.0334298580884933,15.132746,0.1671492894328175,1,0,4,4,4
PHD_2278,12.165525,6.277362632751465,9.055386,0.455419547855854,16.124516,0.3786311587247539,1,0,3,2,3
PHD_229,8.062258,9.811426162719728,4.2426405,0.1506069242954254,3.6055512,0.1419529925360066,1,0,3,4,4
PHD_2295,4.1231055,3.4209030151367186,5.0,0.5642932415008545,3.6055512,1.1446334679828,1,0,2,1,0
PHD_2319,6.3245554,1.3300563097000122,5.3851647,0.6315977156162262,6.3245554,1.193766820922601,1,0,0,1,0
PHD_2328,6.4031243,2.5056047677993774,5.656854,0.6987218677997589,3.6055512,1.291889668615757,1,0,1,0,0
PHD_233,8.246211,2.6343465566635134,7.071068,0.7017120897769928,8.062258,1.067753038628594,1,0,1,0,0
PHD_2354,6.0827627,1.6485281229019164,5.3851647,0.926921421289444,6.0827627,1.6242272312423236,1,0,0,0,0
PHD_2358,7.071068,1.94164080619812,8.602325,0.2355949933640659,6.708204,0.4297683909057195,1,0,0,3,3
PHD_239,5.0,2.7517067432403564,4.1231055,0.7452555179595948,2.828427,1.0818338268738967,1,0,2,0,0
PHD_2431,15.811388,29.804562759399413,11.0,0.1515606917440891,13.453624,0.1492929937589509,1,0,4,4,4
PHD_2458,4.1231055,6.695620036125183,6.0,0.5622330182231963,9.0,1.2369864787128644,1,0,3,1,0
PHD_2469,6.0827627,2.3545398235321047,6.3245554,0.4320936873555183,7.615773,0.5979928222928804,1,0,1,2,2
PHD_2496,5.0990195,1.5268827438354493,5.0,0.8953828752040863,4.1231055,1.4354710873596814,1,0,0,0,0
PHD_2506,7.615773,3.4422204971313475,5.0,0.1751431722193956,7.071068,0.4120033191502238,1,0,2,3,3
PHD_2514,11.401754,2.145731353759765,12.369317,0.6384445130825043,7.28011,0.8684566395582897,1,0,1,1,1
PHD_253,2.236068,1.8957417249679565,2.828427,0.6709604680538177,1.4142135,0.8782344469098884,1,0,0,1,1
PHD_2537,24.04163,2.283622097969056,23.769728,0.9484002351760864,23.409399,1.833497131737858,1,0,1,0,0
PHD_2540,9.055386,2.262751054763794,9.219544,0.6035997748374939,13.038404,0.895752711795996,1,0,1,1,1
PHD_256,5.3851647,3.242787599563598,7.0,0.4600606394931674,7.0,0.6712808189096526,1,0,2,2,2
PHD_259,4.472136,6.738879680633545,3.6055512,0.3382292472757399,18.439089,0.0450254489425734,1,0,3,2,4
PHD_260,6.3245554,5.089283180236817,7.615773,0.2327340550720691,4.472136,0.3815451087285349,1,0,3,3,3
PHD_2604,15.811388,32.76895027160644,14.0,0.1138748153112828,14.0,0.3561428317312254,1,0,4,4,3
PHD_2615,4.2426405,1.64721360206604,3.6055512,0.8417115926742553,3.6055512,1.1346381936460674,1,0,0,0,0
PHD_2622,7.81025,2.617944860458374,10.770329,0.2713553804904222,6.4031243,0.0837284376611321,1,0,1,3,4
